mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
100,-0.13599416190994723,0.010314082823826443,49,-13.185288913502681,1.4253084925984355e-17,0.0190864745527505,1
101,-1.099650217864198,0.030722633289211158,49,-35.792837401420314,2.8243107223699608e-36,0.019279059022665,1
102,-0.6573054869997104,0.029594941296026404,49,-22.210062200324902,6.697463132356255e-27,0.0194607581943273,1
103,-0.2254590318717652,0.02137615888663494,49,-10.547219127040146,4.300949067188075e-14,0.0196548048406839,1
104,-0.08639767277480653,0.007857725624905937,49,-10.995251921365067,1.0356853955261806e-14,0.0198375191539526,1
105,-0.6390114251365283,0.026438988274292217,49,-24.16928433520533,1.60520227768418e-28,0.0199899114668369,1
106,-0.27147236990294205,0.016151507309910947,49,-16.807865959133125,9.576499003148881e-22,0.0203421004116535,1
107,-0.11070481240698814,0.00894843021680029,49,-12.371422665748083,1.5345849040627087e-16,0.0204064417630434,1
108,-0.14360403081828713,0.01105245558789648,49,-12.992952532245196,2.480378105000503e-17,0.0205841325223445,1
109,-0.05689928079619288,0.007083733867807922,49,-8.032385442199073,1.9675626598505613e-10,0.0207765027880668,1
110,-0.04270078103137504,0.0035652952249278754,49,-11.976786868256854,5.008352704549584e-16,0.0210340023040771,1
111,-0.7613942579439916,0.02790300087717492,49,-27.28718180870731,6.993343560627564e-31,0.0211396422237157,1
112,-1.4318473639094018,0.04440351915771288,49,-32.24625865404388,3.474291779758614e-34,0.0213069375604391,1
113,-0.07078158125937048,0.00916251624368697,49,-7.72512477761111,5.744657907397743e-10,0.0215043816715478,1
114,-0.0286663107643564,0.004311147990965042,49,-6.649345098900096,2.5373573774492148e-08,0.0218461286276578,1
115,-0.09349769831949241,0.010121725023062703,49,-9.237328430327304,3.1832411183454494e-12,0.0219429824501276,1
116,-0.03212165655796025,0.004029170763756167,49,-7.972274803268714,2.42513661029381e-10,0.0221266504377126,1
117,-0.14394247179466205,0.010207223172482538,49,-14.102020634046081,1.0829596921557903e-18,0.0223625842481851,1
118,-0.04065030208995138,0.006272220039882414,49,-6.481007016889263,4.599179909584681e-08,0.0224539022892713,1
119,-0.5493539621491766,0.02110595881734535,49,-26.028382169385512,5.863212382278595e-30,0.0227182861417531,1
