mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
26,-0.22817089881997132,0.02088111735561366,49,-10.927140293027952,1.283850744457285e-14,0.0048440368846058,1
27,-2.2598201581447612,0.07504620321132685,49,-30.112384923474487,7.983166313154804e-33,0.0049720155075192,1
28,-0.8544401155771557,0.05523123394588085,49,-15.470234042107254,2.790859287473093e-20,0.0052369954064488,1
29,-0.18077561862861913,0.016445409810357827,49,-10.992466634352953,1.0448105950650907e-14,0.0054828114807605,1
30,-0.14266702945312754,0.017270208231713997,49,-8.26087488575512,8.909797127854941e-11,0.0056525152176618,1
31,-0.23423798777098823,0.018827733157454986,49,-12.441114700961217,1.247888309366734e-16,0.0058893002569675,1
32,-2.312365846303924,0.0767344388720429,49,-30.134655055728857,7.718316131651169e-33,0.0060744471848011,1
33,-0.34685689206304227,0.02767355250999682,49,-12.53387659346386,9.485256384686959e-17,0.006196467205882,1
34,-0.576390606938134,0.038041623156943906,49,-15.151577643261602,6.416904974316247e-20,0.0063056014478206,1
35,-0.4365437754307782,0.033839352381353396,49,-12.900476655437657,3.242845420434343e-17,0.0066964793950319,1
36,-0.5768961569941394,0.027293014949632304,49,-21.13713556595958,5.810567095099671e-26,0.0067823454737663,1
37,-7.488698881709747,0.10405158001542285,49,-71.97102514541103,1.482716036241668e-50,0.006928913295269,1
38,-2.489375916346495,0.07527203380819628,49,-33.07172385815661,1.0869015295044454e-34,0.0072302352637052,1
39,-3.9535744192793683,0.09948866141571812,49,-39.73894475028837,2.1908238217253957e-38,0.0074026435613632,1
40,-0.13492225673731925,0.012730185824683826,49,-10.598608582421871,3.648212167259328e-14,0.0074999053031206,1
41,-5.136598131647828,0.11526297964181295,49,-44.56416229747082,1.0317689207689843e-40,0.0076058097183704,1
42,-0.32882794867469556,0.025478234845400283,49,-12.906229598321666,3.1891190257867346e-17,0.0078272670507431,1
43,-0.5335706114948844,0.02565576609668352,49,-20.797297944022738,1.1735473204759517e-25,0.0081295762211084,1
44,-0.10508281564423633,0.012415803466303306,49,-8.463633942775658,4.427300187198497e-11,0.008332522585988,1
45,-1.8277023974700974,0.0513117705045622,49,-35.619554334177465,3.53575465443003e-36,0.0084747318178415,1
46,-0.08630202822663964,0.012699385045537316,49,-6.795764355295848,1.5125189477283275e-08,0.0086999479681253,1
47,-1.8771994683422972,0.05806353792437992,49,-32.33009105967847,3.083731136714464e-34,0.0089640468358993,1
48,-2.3385902591298873,0.07234044270751645,49,-32.327563553698,3.094825362506472e-34,0.0091615673154592,1
49,-3.503114773942472,0.06623114574023485,49,-52.89225687989811,3.252772438995244e-44,0.0093336086720228,1
50,-0.6122135665531911,0.025401860515150258,49,-24.101130946217616,1.8197151398912354e-28,0.0094550773501396,1
51,-0.421648100590442,0.020174753411020784,49,-20.899789553814816,9.484385689019785e-26,0.0096245910972356,1
52,-0.1138415794434802,0.01169702596457983,49,-9.732523445549992,6.106390103840237e-13,0.0098703932017087,1
53,-0.10876671384255941,0.014747464853372336,49,-7.375282119603593,1.959629403626e-09,0.0100258029997348,1
54,-0.3381883044808137,0.021772643123025626,49,-15.532717023371555,2.3736903173929135e-20,0.0101064685732126,1
