metric,control_model,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
boundary,boundary_plus_wordrate_content,L,41,-3.989472446549668,0.08139617379520973,49,-49.01302187234326,1.1798003898903873e-42,0.0076058097183704,1
boundary,boundary_plus_wordrate_content,L,42,-0.02103122267412675,0.004216681179071907,49,-4.987624575106181,8.408630816692039e-06,0.0078272670507431,1
boundary,boundary_plus_wordrate_content,L,43,-0.041677007733792466,0.007834285676131666,49,-5.319822311403293,2.6906877868628706e-06,0.0081295762211084,1
boundary,boundary_plus_wordrate_content,L,44,-0.048233053965302246,0.009381692732220911,49,-5.141188838944646,4.975810486142908e-06,0.008332522585988,1
boundary,boundary_plus_wordrate_content,L,45,-0.6960255120589138,0.027838897038309975,49,-25.001906903893907,3.5514836217968444e-29,0.0084747318178415,1
boundary,boundary_plus_wordrate_content,L,46,-1.0606284874655443,0.0448415099049883,49,-23.65282725119738,4.184269961954376e-28,0.0086999479681253,1
boundary,boundary_plus_wordrate_content,L,47,-0.09486875261650576,0.008224719341766763,49,-11.534588436926152,1.9305573237786998e-15,0.0089640468358993,1
boundary,boundary_plus_wordrate_content,L,48,-6.206695887074849,0.13791106305035655,49,-45.00506159399663,6.502107491464261e-41,0.0091615673154592,1
boundary,boundary_plus_wordrate_content,L,49,-0.5285729916696114,0.018441819188571178,49,-28.661651340621553,7.556472504791177e-32,0.0093336086720228,1
boundary,boundary_plus_wordrate_content,L,50,-0.021042432347122744,0.0058178560451632244,49,-3.616870576338295,0.0007145054206528958,0.0094550773501396,1
boundary,boundary_plus_wordrate_content,L,51,-0.5313418421189424,0.02363648663922166,49,-22.479730182795024,3.9441489502845005e-27,0.0096245910972356,1
boundary,boundary_plus_wordrate_content,L,52,-0.08731329875028915,0.013717837012708223,49,-6.364946505006729,6.929072059189544e-08,0.0098703932017087,1
boundary,boundary_plus_wordrate_content,L,53,-0.8345506726033292,0.03945947946512878,49,-21.149561117268167,5.664112089657883e-26,0.0100258029997348,1
boundary,boundary_plus_wordrate_content,L,54,-0.3101315691908187,0.017162691661454482,49,-18.07010085063406,4.7176213905788824e-23,0.0101064685732126,1
boundary,boundary_plus_wordrate_content,L,55,-0.22611558102015641,0.015595932906715055,49,-14.498368412626286,3.6684970186411367e-19,0.0102680269628763,1
boundary,boundary_plus_wordrate_content,L,56,-0.17137296138551505,0.012239745388132621,49,-14.001350187535305,1.4299893919959688e-18,0.0104580484330654,1
boundary,boundary_plus_wordrate_content,L,57,-0.055860207837695734,0.00842323802401112,49,-6.631678658309512,2.7007992084641693e-08,0.0108443927019834,1
boundary,boundary_plus_wordrate_content,L,58,-0.32930651017756074,0.019164992518398174,49,-17.182710082533575,3.8515856891299585e-22,0.0109784808009862,1
boundary,boundary_plus_wordrate_content,L,59,-0.46304003727338666,0.02069711118526502,49,-22.37220610782826,4.868196541286198e-27,0.0112018398940563,1
boundary,boundary_plus_wordrate_content,L,60,-0.8282049678984996,0.033835602784981066,49,-24.477322693542288,9.139913550435284e-29,0.0112499464303255,1
boundary,boundary_plus_wordrate_content,L,61,-0.1193777555908346,0.010790341514876426,49,-11.063389923873208,8.359168767397813e-15,0.0114265698939561,1
boundary,boundary_plus_wordrate_content,L,62,-1.6103314320321462,0.051978792076586344,49,-30.98054740593932,2.1781367161356092e-33,0.0116981286555528,1
boundary,boundary_plus_wordrate_content,L,63,-2.1008531123442777,0.045891596781936564,49,-45.778601305309046,2.9223049339811105e-41,0.0118494983762502,1
boundary,boundary_plus_wordrate_content,L,64,-0.3110638040635223,0.015183292054930088,49,-20.48724367140909,2.246726269963853e-25,0.0121008921414613,1
boundary,boundary_plus_wordrate_content,L,65,-0.19751948005476352,0.014131338162758581,49,-13.977408068494322,1.5279958999078853e-18,0.0122096873819828,1
boundary,boundary_plus_wordrate_content,L,66,-0.29676552711180576,0.01724951199203001,49,-17.204285387837277,3.6564718841803036e-22,0.012521605938673,1
boundary,boundary_plus_wordrate_content,L,67,-0.29156039490051155,0.013268893239439899,49,-21.973226375346044,1.0709805124123148e-26,0.0128279495984315,1
boundary,boundary_plus_wordrate_content,L,68,-1.1450090680952003,0.05063176454117963,49,-22.614441319025055,3.0334416030002e-27,0.0129549652338027,1
boundary,boundary_plus_wordrate_content,L,69,-0.017688129291587137,0.005283499642667419,49,-3.3478055243431677,0.0015907949974070675,0.0130439344793558,1
boundary,boundary_plus_wordrate_content,L,70,-0.6150309036886917,0.023404773720941234,49,-26.278011102427268,3.818988130736229e-30,0.0131426770240068,1
boundary,boundary_plus_wordrate_content,L,71,-0.16574805528413303,0.013304215449638543,49,-12.458311120377727,1.185920470964504e-16,0.0135406553745269,1
boundary,boundary_plus_wordrate_content,L,72,-0.07476482575689865,0.007451724943207834,49,-10.033224028893601,2.2720094351246459e-13,0.0137549825012683,1
boundary,boundary_plus_wordrate_content,L,73,-0.05128428063241205,0.0072435507185687415,49,-7.079991930055174,5.544872443840848e-09,0.0138666797429323,1
boundary,boundary_plus_wordrate_content,L,74,-0.646766623834425,0.034675847910116867,49,-18.65178972727376,1.2415201566589745e-23,0.0139644090086221,1
boundary,boundary_plus_wordrate_content,L,75,-0.09436513782781504,0.008723207992420929,49,-10.81771040078412,1.815223132005189e-14,0.0142714828252792,1
boundary,boundary_plus_wordrate_content,L,76,-0.3725654322600249,0.0149222710846372,49,-24.96707305120526,3.7795489438464155e-29,0.0145824085921049,1
boundary,boundary_plus_wordrate_content,L,77,-0.4253513164072362,0.01816838159377742,49,-23.41162388139827,6.585491338688611e-28,0.0147327147424221,1
boundary,boundary_plus_wordrate_content,L,78,-1.7129829840047637,0.04269309136506549,49,-40.12318923821122,1.3987987847541579e-38,0.0147609356790781,1
