subject,run,hemi,mode_k,beta,p
sub-EN057,16,R,15,-4.756270931013998,0.0481595357919032
sub-EN057,16,R,16,-3.1075584115839563,0.0475683652453304
sub-EN057,16,R,17,-13.09628790016101,0.0219948635425672
sub-EN057,16,R,18,-0.375249168093448,0.0013045320570257
sub-EN057,16,R,19,-1.641299997364921,0.0281914547410695
sub-EN057,16,R,20,-2.03582426402908,0.0457879862987745
sub-EN057,16,R,21,-1.765976816127964,0.0460434576930763
sub-EN057,16,R,22,-4.122797932193272,0.0210116569950049
sub-EN057,16,R,23,-1.1259662679232811,0.0265284806407924
sub-EN057,16,R,24,-0.4508125247295529,0.0051589457121935
sub-EN057,16,R,25,-0.2253474111654648,0.0288362122299397
sub-EN057,16,R,26,0.0611209228680518,0.3045159646029725
sub-EN057,16,R,27,-1.7197615842731293,0.0205766095848721
sub-EN057,16,R,28,-0.8281860829264378,0.0050395397201693
sub-EN057,16,R,29,-0.1490014194586391,0.0085693619165759
sub-EN057,16,R,30,-0.4532112693701181,4.522926888007982e-11
sub-EN057,16,R,31,0.0139995445443401,0.8238333625271117
sub-EN057,16,R,32,-1.3701851049227265,0.1038572767668778
sub-EN057,16,R,33,-0.0709002346005102,0.0001196014852972
sub-EN057,16,R,34,-0.4925442170086571,0.1251425340552379
sub-EN057,16,R,35,-0.3669423074661231,0.0244773441274413
sub-EN057,16,R,36,-0.5801472204535015,0.0274174814235764
sub-EN057,16,R,37,-7.210081329481917,0.0460261234123517
sub-EN057,16,R,38,-2.5712302765324067,0.0323203608988714
sub-EN057,16,R,39,-3.7960761895444057,0.0413460829816334
sub-EN057,16,R,40,-0.0944165563542768,0.0089749936875377
sub-EN057,16,R,41,-4.272461380851672,0.0431032715254568
sub-EN057,16,R,42,-0.4847851158401217,0.0615296471159557
sub-EN057,16,R,43,-0.4108816749576772,0.0435150543546412
sub-EN057,16,R,44,-0.0637456871238543,0.1066720392606008
sub-EN057,16,R,45,-1.6718809047747711,0.0433929668337503
sub-EN057,16,R,46,-0.1909536478520574,0.0001964275988756
sub-EN057,16,R,47,-2.1484444732661,0.0439333489243338
sub-EN057,16,R,48,-1.8481404282663645,0.0467445903541221
sub-EN057,16,R,49,-3.009923908619399,0.048510881086704
sub-EN057,16,R,50,-0.5869433236886701,0.0100566102461397
sub-EN057,16,R,51,-0.2992068625155869,0.035284140650995
sub-EN057,16,R,52,-0.171090215321574,8.981023276621475e-05
sub-EN057,16,R,53,-0.747787780100323,4.168970563541511e-07
sub-EN057,16,R,54,-0.6210257641560348,0.0170331562855719
sub-EN057,16,R,55,-0.0241033950940429,0.6529364195831533
sub-EN057,16,R,56,-0.0921929825242082,0.0076749641440785
sub-EN057,16,R,57,0.0186732751224204,0.3602875918903787
sub-EN057,16,R,58,-0.331161607100399,0.0753335919599463
sub-EN057,16,R,59,-0.4083291341007245,0.0528207182989977
sub-EN057,16,R,60,-1.1669980777288314,0.0425360439920188
sub-EN057,16,R,61,-0.3026844567106098,0.0007599018288045
sub-EN057,16,R,62,-0.91750781522921,0.0439222547724927
sub-EN057,16,R,63,-1.3202459533846955,0.048888807585476
sub-EN057,16,R,64,-0.2620662918268309,0.0025584318167582
sub-EN057,16,R,65,-0.0022590773178259,0.8990791761531589
sub-EN057,16,R,66,-0.6145388696081601,0.0327094785621119
sub-EN057,16,R,67,-1.4528250915528982,0.0454224518795423
sub-EN057,16,R,68,-1.078002973330258,0.0480925515080523
sub-EN057,16,R,69,-0.149011763724131,0.0003868633434446
