metric,hemi,mode_k,beta_mean,beta_sem,N_subj,t,p,lam,sig_q05
boundary,R,83,-0.09478294527182769,0.011119609982124917,49,-8.523945122553211,3.5983289259071003e-11,0.0157812219113111,1
boundary,R,84,-0.5736596253423102,0.019507225174544195,49,-29.407546189137292,2.3498395651253993e-32,0.0159307047724723,1
boundary,R,85,-0.16436032499567663,0.010112793120734709,49,-16.252713076734594,3.7913668491384685e-21,0.0159959252923727,1
boundary,R,86,-0.007728400281644914,0.0032652051945907964,49,-2.3668957450049186,0.022019086193582203,0.0163249354809522,1
boundary,R,87,-0.015635387950399163,0.0033604438071675145,49,-4.652774707034331,2.6013031907581632e-05,0.0165493730455636,1
boundary,R,88,-0.6443311662049536,0.02176566434740512,49,-29.60310128469707,1.737599794651367e-32,0.0166782364249229,1
boundary,R,89,-0.040313808059779854,0.0049251551394602,49,-8.185286943915086,1.1574092713838306e-10,0.0169897153973579,1
boundary,R,90,-0.048153791616888666,0.005651083314934393,49,-8.52116115323062,3.632903285415732e-11,0.0170869976282119,1
boundary,R,91,-0.1522498944704551,0.010294091864734902,49,-14.79002679119533,1.67391473549892e-19,0.0171879101544618,1
boundary,R,92,-0.026741570519125044,0.008544889425802683,49,-3.1295396799839823,0.002976321609207249,0.0173780377954244,1
boundary,R,93,-0.3432248774298538,0.015392167504330466,49,-22.298670887858396,5.624658919959796e-27,0.0176062751561403,1
boundary,R,94,-0.16144524613661304,0.011610166553561835,49,-13.905506470713284,1.86536296095781e-18,0.017727717757225,1
boundary,R,95,-0.15294587729882025,0.009342760687181175,49,-16.370522848634145,2.8235073049904763e-21,0.0180606748908758,1
boundary,R,96,-0.014783813326262218,0.003728006039272665,49,-3.965608738430731,0.00024302542153834046,0.0183309633284807,1
boundary,R,97,-0.014507631598257933,0.0038612651069569975,49,-3.7572223601324204,0.000465353281633778,0.0185584239661693,1
boundary,R,98,-0.055518887462854466,0.010672714750793398,49,-5.201946155145508,4.0389737390708555e-06,0.0187302939593791,1
boundary,R,99,-0.13344159066480724,0.008326848269204401,49,-16.02546201764249,6.7229398907230424e-21,0.0188728664070367,1
boundary,R,100,-0.03536219582161845,0.005274331151718497,49,-6.70458391868259,2.087435408771093e-08,0.0190864745527505,1
boundary,R,101,-0.21699690177187156,0.010647397213292211,49,-20.380276740401175,2.8161023578107604e-25,0.019279059022665,1
boundary,R,102,-0.019902774879730866,0.003318888204637907,49,-5.996819914547942,2.535521540214394e-07,0.0194607581943273,1
boundary,R,103,-0.1086936953091879,0.007087218777589417,49,-15.336579654192361,3.9517290771199554e-20,0.0196548048406839,1
boundary,R,104,-0.008660972838495557,0.003578925631212611,49,-2.4199924030165016,0.019356326986171832,0.0198375191539526,1
boundary,R,105,-0.01921702470170483,0.002753379205203427,49,-6.979432642400968,7.906774794944373e-09,0.0199899114668369,1
boundary,R,106,-0.0056433351427601225,0.003591512130713327,49,-1.5712978092153271,0.12268274823026797,0.0203421004116535,0
boundary,R,107,-0.023450081134474547,0.0034191119951011125,49,-6.858529690771673,1.211739327386657e-08,0.0204064417630434,1
