subject,run,hemi,mode_k,beta,p
sub-EN057,15,R,86,-0.0433047699310154,0.009637377597102
sub-EN057,15,R,87,-0.0494074006396739,0.0914223162570234
sub-EN057,15,R,88,-0.7197765157032341,0.3449298292833825
sub-EN057,15,R,89,-0.0574624165814197,0.1525359994988737
sub-EN057,15,R,90,-0.1077695674868533,0.2240304790747728
sub-EN057,15,R,91,-0.0421224632500508,0.5956414430193755
sub-EN057,15,R,92,-0.0317689994419721,0.3454570662245951
sub-EN057,15,R,93,-0.401156081676031,0.3098560172986443
sub-EN057,15,R,94,-0.2196846368321993,0.3334873093073474
sub-EN057,15,R,95,-0.0411723808720167,0.2017715114211657
sub-EN057,15,R,96,0.005442444037089,0.8100346267707758
sub-EN057,15,R,97,-0.0193510831128765,0.1630517578027758
sub-EN057,15,R,98,-0.0414092609135176,0.3407686512796094
sub-EN057,15,R,99,-0.1832622303097822,0.302905786412162
sub-EN057,15,R,100,-0.0490238180830523,0.3330748875457612
sub-EN057,15,R,101,-0.244304351018863,0.2819088119601358
sub-EN057,15,R,102,0.0029244218800018,0.9530199859220028
sub-EN057,15,R,103,-0.1522497509206655,0.2079960019274594
sub-EN057,15,R,104,-0.0077495824989285,0.540528113386963
sub-EN057,15,R,105,-0.0149292617880023,0.3928616236827855
sub-EN057,15,R,106,-0.0169391648136523,0.1807945473473494
sub-EN057,15,R,107,-0.000705030833981,0.96162080045377
sub-EN057,15,R,108,-0.0350052730128108,0.4476456440828511
sub-EN057,15,R,109,-0.0026298665999422,0.8854755840556324
sub-EN057,15,R,110,-0.386743832626131,0.2612331893753536
sub-EN057,15,R,111,-1.5156722927874886,0.3172346278444965
sub-EN057,15,R,112,-0.201237952306718,0.2654065905594859
sub-EN057,15,R,113,-0.0078079791658797,0.7526935436045301
sub-EN057,15,R,114,-0.0106468776862027,0.4304157429788615
sub-EN057,15,R,115,0.005609412646769,0.8282634021767789
sub-EN057,15,R,116,-0.0138125927293314,0.1573561931016873
sub-EN057,15,R,117,-0.050294616058871,0.0999831555076821
sub-EN057,15,R,118,-0.0331475022862284,0.440767867538959
sub-EN057,15,R,119,-0.0626616567416854,0.2862584443283844
sub-EN057,16,L,0,-928.5313811891066,0.3877928445399171
sub-EN057,16,L,1,0.2054849617231084,0.3272650159834738
sub-EN057,16,L,2,-20.17316487460582,0.3676157341652593
sub-EN057,16,L,3,-56.27282329212519,0.3886646702552454
sub-EN057,16,L,4,-3.2677199054573034,0.3175629335022967
sub-EN057,16,L,5,0.0402285560704861,0.8433109199915474
sub-EN057,16,L,6,-4.724848940364488,0.3759570271795743
sub-EN057,16,L,7,-0.0864003288383847,0.8653116149170454
sub-EN057,16,L,8,-9.545171994595592,0.3952008246002241
sub-EN057,16,L,9,-0.3149232961188259,0.3653968919170703
sub-EN057,16,L,10,-1.9445675472110464,0.3986748249482531
sub-EN057,16,L,11,-5.923642454143412,0.3882082954230076
sub-EN057,16,L,12,-2.116106067503836,0.3522849598651228
sub-EN057,16,L,13,-2.725831000336254,0.3576281463598502
sub-EN057,16,L,14,-6.246119002548043,0.3862483181778064
sub-EN057,16,L,15,-2.0342584886078776,0.3984719039891373
sub-EN057,16,L,16,-0.1625285691451035,0.1129245122603321
sub-EN057,16,L,17,-1.688074866544235,0.4016497769751602
sub-EN057,16,L,18,-0.5006308066498427,0.3713554551395461
sub-EN057,16,L,19,-2.617109915336295,0.3887602910027303
sub-EN057,16,L,20,-0.8595863983164048,0.3484586445270706
sub-EN057,16,L,21,-0.4203720873966561,0.3999023830436254
sub-EN057,16,L,22,-0.5192316416025313,0.4142931406288757
sub-EN057,16,L,23,-0.0564505699878421,0.2749842426294369
sub-EN057,16,L,24,-0.3013976012093883,0.0386501188732534
sub-EN057,16,L,25,0.1420992253018685,0.1950420509835661
sub-EN057,16,L,26,-1.321924996738248,0.3796910561118416
sub-EN057,16,L,27,-0.1456691208912312,0.3282932819674155
sub-EN057,16,L,28,-0.3550677551966732,0.3684438242767216
sub-EN057,16,L,29,-0.1071491714336369,0.2132969795307961
sub-EN057,16,L,30,-0.0265680398764449,0.6749391592348832
sub-EN057,16,L,31,0.0635402794777117,0.2976490310478594
sub-EN057,16,L,32,-0.6350285391190894,0.3641244331477027
sub-EN057,16,L,33,-2.046799865034347,0.3915377347074027
sub-EN057,16,L,34,-0.3576330940442154,0.2708115706991025
sub-EN057,16,L,35,0.0169779148120069,0.7304721242671617
sub-EN057,16,L,36,-2.020849161033773,0.3762283059809472
sub-EN057,16,L,37,0.004212019420416,0.8796956613942977
sub-EN057,16,L,38,-0.8153409526920107,0.3811104866391456
sub-EN057,16,L,39,-0.4457406606282541,0.4177012955586627
sub-EN057,16,L,40,-0.0627885297192994,0.3581115502451804
sub-EN057,16,L,41,-2.102216714167306,0.3876338901481595
sub-EN057,16,L,42,-0.0362986844309907,0.3702316201398562
sub-EN057,16,L,43,-0.0200351360041521,0.6591669076314428
sub-EN057,16,L,44,-0.092016848276979,0.2754318057593846
sub-EN057,16,L,45,-0.172240892470756,0.278189063230117
sub-EN057,16,L,46,-0.6631111544433281,0.3908525234017439
sub-EN057,16,L,47,-0.1027918198420826,0.3895220879132063
sub-EN057,16,L,48,-3.3040250354193184,0.3798999855893494
sub-EN057,16,L,49,-0.337501699592734,0.3966906673112217
sub-EN057,16,L,50,-0.0247853309252567,0.598435566959213
sub-EN057,16,L,51,-0.1936445362068935,0.2626009052495839
sub-EN057,16,L,52,-0.1807390944517951,0.0295175751935975
sub-EN057,16,L,53,-0.7108105206168557,0.3626596989264604
sub-EN057,16,L,54,-0.235286330407773,0.4013061132079146
sub-EN057,16,L,55,0.0242469602027346,0.3260637700786591
sub-EN057,16,L,56,-0.059139139248778,0.419766801958935
sub-EN057,16,L,57,-0.1203373707470673,0.2774013346948536
sub-EN057,16,L,58,-0.1389493477410919,0.3421043590305153
sub-EN057,16,L,59,-0.2852670726421515,0.364241439997405
sub-EN057,16,L,60,-0.4666614010170843,0.377258762141748
sub-EN057,16,L,61,-0.1483164976633086,0.3763616830041696
sub-EN057,16,L,62,-0.4730084933424318,0.3714025244143791
sub-EN057,16,L,63,-0.9125249319210036,0.3889413485846215
sub-EN057,16,L,64,-0.1591753553216646,0.3230601681955337
sub-EN057,16,L,65,-0.1612398761559392,0.1954456654590934
sub-EN057,16,L,66,-0.1277263539173482,0.4550718278696311
sub-EN057,16,L,67,-0.1164634827563748,0.3938603431111604
sub-EN057,16,L,68,-0.872042588360289,0.3834781739523378
